Description,Real Estate Type,Location,City,Province,Region,Highly Urbanized?,Price (PHP),Bedrooms,Bath,Floor_area (sqm),Land_area (sqm),Total_area (sqm),Price per sqm,Latitude,Longitude,Link
"3-Bedroom SA House and Lot for Sale in Abucay, Bataan at The Hauslands Bataan | Lily ...",House,"Capitangan, Abucay",Abucay,Bataan,Region III,0,"3,810,000",3,na,69,88,157,24267.52,14.7131,120.5377528,https://www.lamudi.com.ph/3-bedroom-sa-house-and-lot-for-sale-in-abucay-bata-171291799023.html
"3-Bedroom SD House and Lot for Sale in Abucay, Bataan at The Hauslands Bataan | Magno...",House,"Capitangan, Abucay",Abucay,Bataan,Region III,0,"4,350,000",3,na,81,120,201,21641.79,14.7131,120.5377528,https://www.lamudi.com.ph/3-bedroom-sd-house-and-lot-for-sale-in-abucay-bata-171291799150.html
"3-Bedroom SD House and Lot for Sale in Abucay, Bataan at The Hauslands Bataan | Magno...",House,"Capitangan, Abucay",Abucay,Bataan,Region III,0,"5,253,200",3,na,81,120,201,26135.32,14.7131,120.5377528,https://www.lamudi.com.ph/3-bedroom-sd-house-and-lot-for-sale-in-abucay-bata-171291799186.html
"For Sale 3-Bedroom SD House and Lot in Abucay, Bataan at The Hauslands Bataan | Magno...",House,"Capitangan, Abucay",Abucay,Bataan,Region III,0,"4,350,000",3,na,81,120,201,21641.79,14.7131,120.5377528,https://www.lamudi.com.ph/for-sale-3-bedroom-sd-house-and-lot-in-abucay-bata-171291976523.html
"For Sale 3-Bedroom SD House and Lot in Abucay, Bataan at The Hauslands Bataan | Magno...",House,"Capitangan, Abucay",Abucay,Bataan,Region III,0,"5,253,200",3,na,81,120,201,26135.32,14.7131,120.5377528,https://www.lamudi.com.ph/for-sale-3-bedroom-sd-house-and-lot-in-abucay-bata-171291976511.html
"House and Lot with 3 Bedrooms for Sale in Abucay, Bataan at The Hauslands Bataan | Li...",House,"Capitangan, Abucay",Abucay,Bataan,Region III,0,"3,810,000",3,na,69,88,157,24267.52,14.7131,120.5377528,https://www.lamudi.com.ph/house-and-lot-with-3-bedrooms-for-sale-in-abucay-b-171291976767.html
3 Bedroom House and Lot in Angeles City,House,"Mining, Angeles",Angeles,Pampanga,Region III,1,"12,500,000",3,na,200,126,326,38343.56,15.133755,120.639677,https://www.lamudi.com.ph/3-bedroom-house-and-lot-in-angeles-city-171230701193.html
Avida Land an Ayala land Company House and Lot in Pampanga,House,"Mining, Angeles",Angeles,Pampanga,Region III,1,"8,000,000",3,na,84,84,168,47619.05,15.133755,120.639677,https://www.lamudi.com.ph/avida-land-an-ayala-land-company-house-and-lot-in-170986354597.html
Two-storey House and Lot for Sale with Pool in Angeles City,House,"Amsic, Angeles",Angeles,Pampanga,Region III,1,"22,000,000",5,na,300,240,540,40740.74,15.15043,120.595558,https://www.lamudi.com.ph/two-storey-house-and-lot-for-sale-with-pool-in-ang-171230746561.html
Tranquil Vacant Lot in an exclusive community For Sale,Lot,"San Juan, Antipolo",Antipolo,Rizal,Region IV-A,0,"2,700,000",na,na,na,150,150,18000,14.721661,121.254587,https://www.lamudi.com.ph/tranquil-vacant-lot-in-an-exclusive-community-for-170573584039.html
